csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
787.6665698461882	619.7108631114278	588.9250172579289	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.0	0.0
768.5508562244169	619.427553458342	585.8511614854698	1.277633	27.229816	0.05240295	-0.153424426	0.11781588650000001	0.031130299900000002	-0.0227359066	0.1274938564	-0.1305069433	-0.2139494891	0.038369752400000005	-0.0376660065	0.1650132269	-0.040456627599999996	0.1648487618	0.11214895779999999	0.1121325392	0.1121051767	0.0	0.0	0.00661455	0.0163798	0.000588172	-0.0	0.0
764.6197258621447	619.6265393375983	584.621208995689	1.186616	25.289997	0.1029319	-0.18484159420000001	-0.049135765899999996	0.0984909076	-0.052538435300000005	-0.0172015127	-0.0595128567	-0.2161620971	-0.0203152612	0.09163096220000001	-0.0402611669	-0.0309454875	0.08724025640000001	0.1121051767	0.1119574576	0.1117114032	0.0	0.0130705	0.0139267	0.0426581	0.00108266	-0.000371019	0.000259912
762.9126129524182	618.3253966465917	583.577219397665	1.246501	26.566301	0.18609275	-0.071276428	0.0749636462	-0.0116238253	0.0647724264	0.0718235053	-0.12102086949999999	-0.12104949960000001	0.0268547257	-0.0184519467	0.1578804191	0.0206146667	0.1356752632	0.1120176316	0.1116075676	0.11092523929999999	0.0	0.0284729	-0.0211552	-0.0136033	0.00203867	-0.0	0.0
761.9895866910151	619.1467620066929	584.5788987853108	1.162389	24.773657	0.16393734999999998	-0.1685318015	-0.1318376756	0.0488644394	0.0443821662	-0.0328142128	-0.0088565869	-0.1774585588	0.0315174689	0.0660132773	-0.0693757052	-0.0047756006	-0.0309579219	0.1118863567	0.11108341570000001	0.1097494464	0.0	0.0326548	0.0321027	0.0253472	0.00171679	-0.000425996	0.000603065
761.8010960477844	618.1366994189206	584.5190382162242	1.217127	25.940264	0.2135654235	-0.122108875	0.0424241167	-0.0050876837	0.0636343231	-0.0801699979	-0.0571981079	-0.12117602599999999	0.0371727557	0.0183685214	0.0659801788	0.1209516946	0.1365343857	0.1117114032	0.11038582029999999	0.1081881546	0.0	0.0211488	-0.0117064	-0.0302995	0.00274349	-3.68853e-06	0.0
762.7929773386783	619.4719937179854	585.1253172222263	1.198886	25.551508	0.2214610735	-0.1380061823	-0.08550535779999999	0.1225206721	0.0405374435	0.10983336099999999	-0.0290853158	-0.19010479	-0.0039197877	0.06410950809999999	-0.0057753785	-0.0900802792	0.022575657000000002	0.1114928394	0.10951587039999999	0.106246848	0.0	0.0184135	0.0269081	0.03882	0.00146821	-0.000488965	0.000459279
761.2360749545958	617.8483293800905	583.3048938865329	1.244275	26.518866	0.30226630000000004	-0.1047892913	0.0382947155	-0.0269209174	-0.046971476399999997	-0.0348127408	-0.050363741100000005	-0.0758135856	0.062683746	0.0198897781	-0.0218044592	0.0868230709	0.09815781119999999	0.11123075060000001	0.10847492460000001	0.10393234550000001	0.0	0.0285451	-0.0383544	-0.0592002	0.00296358	0.000133426	0.0
766.9353041098578	620.0724768377653	584.1924699624255	1.340246	28.564262	0.30548505	-0.1153312862	0.0497741638	0.1951090661	-0.0547106612	0.014419868600000002	0.046013844299999995	-0.21630823059999998	-0.1164349041	0.054316035	0.0089094365	-0.1147563819	0.1182913243	0.11092523929999999	0.10726460800000001	0.1012527768	0.0	0.0285942	0.0737888	0.0224838	0.00172317	0.000523625	0.000601566
761.5650216609598	617.723474554562	584.4109042271051	1.42189	30.304319	0.18907374	-0.1337211526	-0.09827810890000001	-0.056988429900000005	-0.07338340809999999	0.0637873912	-0.0308917263	-0.10534745849999999	0.1816251216	0.044589522	-0.0219537625	-0.0762122189	0.0990291424	0.11057642449999999	0.10588681050000001	0.098217554	0.0	0.0368434	-0.00303459	-0.0479201	0.00206021	0.000255021	0.000667867
763.077291231283	617.2603653188824	582.795115873267	1.37531	29.311584	0.06624938	-0.0695672615	0.1384929261	0.1439250409	0.006743252	-0.014363128700000002	-0.0666081967	-0.1070283132	-0.09948368789999999	-0.0427238424	0.124503987	0.0595192769	0.0223153342	0.1101844426	0.1043436833	0.09483733849999999	0.0	0.0361034	0.00752179	-0.029485	0.00222962	0.000176034	0.000185906
760.8340517496715	615.8560243347051	581.8099934854672	1.338531	28.52771	0.043731536999999994	-0.1368003033	-0.0893457268	-0.0282430439	-0.0467848016	0.0693059255	-0.0979485661	-0.0660263132	0.169899507	0.0695485214	0.0601912559	0.025993199100000003	-0.0372738063	0.1097494464	0.1026376358	0.0911240034	0.0	0.0369414	0.000907908	-0.0319789	0.00197925	-0.000115946	5.25409e-05
760.0987783990403	615.641593486636	581.2840000349797	1.268169	27.02812	0.12930909699999998	-0.0908219319	-0.0532898026	0.0404433598	0.0241837484	0.0230430156	-0.09722111970000001	-0.0422095123	0.0495273834	0.044484551399999996	0.057697055700000006	0.10279916480000001	-0.1455304024	0.1092716059	0.1007713319	0.08709059179999999	0.0	0.0576572	0.0382614	-0.0500391	0.00259406	0.000110713	0.000274664
758.9252919678653	614.0555582730692	580.4178071547523	1.139541	24.286697	0.19364905	0.015550948200000001	-0.0146613386	0.0840717272	0.0769298751	-0.0313573467	-0.12137581859999999	0.049147331100000004	-0.012899161499999999	0.1001103296	0.1284935652	0.14125027210000002	-0.17346718789999999	0.1087511076	0.0987476854	0.08275127139999999	0.0	0.068434	-0.015806899999999995	-0.136354	0.00300946	0.000444491	0.000174061
756.1417454304359	615.2806992464233	581.5684972486474	1.122366	23.920656	0.11549785000000003	-0.1370248532	-0.0104322221	-0.1212097895	0.04593407	-0.008750916800000001	0.07300173730000001	-0.0124518175	0.12493528220000001	-0.021098948500000003	-0.0285888114	0.2058331175	-0.18832068059999998	0.1081881546	0.0965698562	0.0781212842	0.0	0.0575827	0.012929800000000003	-0.14677	0.00317741	-0.000625654	0.000102279
759.6672458957628	616.3573143007424	583.1136967577003	1.168895	24.912319	0.05360127000000001	-0.1088813377	-0.0780987047	0.0500791705	0.10305438199999999	-0.0820151933	0.159217786	-0.0635383291	0.0255106077	0.1251511823	-0.037008904599999996	0.1476947382	-0.17039065829999997	0.1075829668	0.09424124460000001	0.0732168931	0.0	0.0576162	-0.00473382	-0.128783	0.00306365	-0.000476	0.000197208
761.4232130883182	616.169768250871	583.0138779463695	1.11805	23.828678	0.09856069	-0.0314499702	0.061765935599999995	0.061689210300000005	0.0423482754	0.0188020352	0.0636359643	-0.0337546584	-0.0317378844	0.0578065641	0.059068273	0.043160658399999996	-0.0726613989	0.10693578039999999	0.09176548650000001	0.068055325	0.0	0.06962400000000002	-0.027888	-0.160366	0.00328438	-0.000210472	4.71518e-05
760.2058315758434	617.407260402701	582.845450130876	1.153229	24.578424	0.137293175	-0.0937899849	-0.0316842154	-0.11830901320000001	-0.0458102912	0.0672800089	0.0051828658	-0.053410016	0.1544148099	-0.024873201	-0.06354482339999999	-0.052811358200000005	-0.0901631483	0.106246848	0.0891464475	0.06265471	0.0	0.0758941	0.00905536	-0.197626	0.00383231	-0.000682304	-6.94805e-05
760.8867176502043	616.9912055595847	582.8037397564243	1.177317	25.091812	0.07424991499999999	-0.037171010899999996	-0.027720366	0.055964473099999995	0.0330196195	0.0695092101	-0.016829865	-0.0610577278	-0.0235708463	0.020256759	-0.039788676	-0.0940203956	-0.1322615097	0.1055164386	0.0863882168	0.0570340182	0.0	0.0815061	0.0201186	-0.170897	0.00371785	-0.000846769	0.000268508
