csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
767.1632339824088	630.75284518703	584.3878158413906	n/a	n/a	n/a	-0.036714952599999996	-0.160575427	0.0350687523	-0.1321258587	0.0595305541	-0.052994408300000004	-0.0647110732	0.0784182566	0.025968992200000002	-0.13740973310000001	0.1118159492	-0.025939522599999997	0.1132219634	0.1132047441	0.1131760472	-0.0209839	-0.0479108	-0.262028	0.00163812	-0.0	-0.00040363
745.0236403403453	629.9667472062664	583.1438582206185	1.206109	28.881165	0.19065775	-0.0388209288	0.0032940548999999997	-0.06871289679999999	-0.1396446994	0.094920819	-0.017838046899999998	-0.0359437337	0.023775192200000003	-0.0307819644	-0.0164136503	0.1382270014	0.0058138014000000005	0.1131760472	0.11302112560000001	0.1127630801	-0.0331006	-0.0139471	-0.218684	0.00303995	0.000622837	-0.00040363
744.7504090247063	630.2680169652457	582.3945652384506	1.468132	35.155499	0.5972285	-0.030428219399999998	0.04824812	-0.025432879199999998	0.089613796	-0.0368988403	-0.0568151592	-0.036542629199999996	-0.0147399188	0.010100043000000001	0.0227934003	-0.0833632854	-0.0977666905	0.1130842333	0.11265418640000001	0.1119386527	-0.0209295	0.112356	-0.347395	0.008876669999999998	0.000276527	-0.0008214659999999998
744.4657879952852	630.2760285985936	582.2484571193601	1.248496	29.896156	0.1739398199999999	-0.044639643799999996	-0.0689322134	-0.0046479324	-0.0685104597	-0.0690042167	0.09079778289999998	-0.0294926963	0.0165051351	-0.0158840946	-0.0468241954	-0.0298472485	-0.0158641437	0.112946559	0.1121045217	0.1107057733	-0.0208676	0.00629358	-0.354958	0.00991634	0.000430124	-0.0008096829999999998
745.1448463854016	629.2752835343173	582.2978848951917	1.011224	24.214499	0.23892977000000004	-0.0174477257	0.0631816237	-0.0015029245	-0.044637195899999996	0.0489603282	0.0381421558	-0.013169276200000002	-0.0315777625	-0.010501259399999999	0.0616997348	0.0250146804	0.04751557730000001	0.1127630801	0.11137302310000001	0.10906894060000001	-0.0157891	0.0954653	-0.415387	0.011003700000000002	0.000238526	-0.00040363
743.0195379752553	629.8794278670306	581.7187025003677	0.988998	23.682272	0.1874625500000001	0.0046178894	0.0982977475	-0.0893353329	0.0923349492	0.0244977	-0.0050369756	-0.0030677431	-0.029576602999999996	-0.0002975598	0.1314330666	-0.0423938919	0.0022088922	0.112533871	0.110460877	0.10703412710000001	0.0111394	0.0547465	-0.402049	0.00896671	0.000145971	-0.00040363
742.7077521739274	629.7126266559641	581.4593558064564	0.94775	22.694572	0.05107082000000008	-0.0166684642	-0.0181008338	-0.059190554400000005	0.047548353200000004	-0.1158949544	-0.0013468134	-0.0102464289	-0.013716966200000002	-0.020627121499999998	0.0055967147	-0.0639924228	-0.024625278900000002	0.1122590247	0.109369563	0.1046087577	0.00281823	0.0351325	-0.402043	0.00924661	0.000217228	-0.000515066
744.3883744861063	629.7049757949255	581.2149587044534	1.025523	24.556894	0.13933427000000004	-0.0026470134000000003	0.0314023271	-0.078952406	-0.0391603651	-0.0171723389	0.0755266703	-0.0168522909	-0.014851351	-0.017291291299999997	0.0456673292	-0.0141494806	0.0209119784	0.1119386527	0.10810085109999999	0.1018016823	0.0123274	0.0814406	-0.384175	0.008472149999999998	0.000644312	-0.00040363
743.4092854538052	629.907393941201	581.8997905864961	1.021454	24.459467	0.25638712	0.006162248	0.0406725857	-0.0978597575	-0.0232815392	0.07223191849999999	0.061541684699999995	-0.0148050045	-0.0273380163	-0.0091120125	0.0927440686	0.030750523999999998	0.0067848991	0.11157288480000001	0.1066567993	0.09862314359999999	0.00841418	0.0164709	-0.316511	0.00670999	0.000103772	-0.000497734
747.1451724817514	631.2112997089735	583.1858790420629	1.018245	24.382618	0.08853621000000003	-0.0099472522	-0.0152097405	-0.0445001534	0.08523386029999999	-0.0725505095	-0.0459713136	-0.035048879399999996	0.0228293638	0.0349433793	-0.024028818700000003	-0.0518289928	-0.09215510710000001	0.1111618695	0.1050397497	0.0950847397	0.00897229	0.0705834	-0.320614	0.00621222	0.00010715	-0.00040363
746.1567645927202	630.4207107349823	584.1142627568693	1.107182	26.512291	0.14499764000000004	-0.0090643912	-0.022507641499999998	-0.0001145257	-0.081327885	-0.0080352033	0.1105653991	-0.014738161999999999	0.013376981699999999	-0.0027973228000000004	-0.014429928100000001	-0.014028008600000001	0.0659126344	0.1107057733	0.10325232529999999	0.091199382	0.00898728	-0.0241557	-0.362053	0.00610897	0.000179991	-0.00040363
744.6011855018982	629.4047759124488	583.6074074167013	0.971901	23.27289	0.06930153	0.0019688611999999998	0.0547358258	0.0002884758	-0.004615640900000001	0.0651684847	0.0355034143	0.006516564200000001	-0.0088220881	-0.024581370800000002	0.0629184345	0.0156895659	0.0472226554	0.11020478130000001	0.1012974252	0.0869812475	0.008999359999999998	0.0217002	-0.338799	0.00610897	0.0001764	-0.00040363
